COUNTRY,ECON_CODE,ISO_A3,NE_ADM0_A3,REGION,INCOME_GRP,REPORT_YEAR,PAT_DAYS,PAT_WEEKS,PAT_MONTHS,PAT_CLASS_ID,PAT_CLASS_DAYS,PAT_CLASS_WEEKS,PAT_CLASS_DESC,PAT_PAID_STATUS,FATHER_INCENTIVES_STATUS,FATHER_INCENTIVES_SOURCE,PARENTHOOD_LF,PARENTHOOD_SF,PARENTHOOD_EP,SOURCE_NOTE
Central African Republic,CAF,CAF,CAF,Sub-Saharan Africa,Low income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,41.0,25.0,29.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Chad,TCD,TCD,TCD,Sub-Saharan Africa,Low income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,64.25,25.0,46.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Chile,CHL,CHL,CHL,High income: OECD,High income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,87.5,75.0,78.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
China,CHN,CHN,CHN,East Asia & Pacific,Upper middle income,2026,21,3.0,0.7,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Colombia,COL,COL,COL,Latin America & Caribbean,Upper middle income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,75.0,93.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Comoros,COM,COM,COM,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,50.0,0.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Congo, Dem. Rep.",ZAR,COD,COD,Sub-Saharan Africa,Low income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,25.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Congo, Rep.",COG,COG,COG,Sub-Saharan Africa,Lower middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,37.5,25.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Costa Rica,CRI,CRI,CRI,Latin America & Caribbean,High income,2026,8,1.1,0.3,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,76.75,25.0,64.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Croatia,HRV,HRV,HRV,Europe & Central Asia,High income,2026,148,21.1,4.9,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Labor Law, Art. 34(1)",100.0,75.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cyprus,CYP,CYP,CYP,Europe & Central Asia,High income,2026,70,10.0,2.3,5,29+ days,4+ weeks,Four weeks or more,Yes,No,Insufficient evidence located,100.0,25.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Czechia,CZE,CZE,CZE,High income: OECD,High income,2026,14,2.0,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,Yes,"Labor Code, Sec. 53.d",100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Côte d'Ivoire,CIV,CIV,CIV,Sub-Saharan Africa,Lower middle income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,78.5,25.0,72.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Denmark,DNK,DNK,DNK,High income: OECD,High income,2026,168,24.0,5.5,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Act on Equal Treatment of Men and Women in Employment, Sec. 9",100.0,25.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Djibouti,DJI,DJI,DJI,Middle East & North Africa,Lower middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,67.75,25.0,64.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Dominica,DMA,DMA,DMA,Latin America & Caribbean,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,34.0,25.0,25.94,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Dominican Republic,DOM,DOM,DOM,Latin America & Caribbean,Upper middle income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,66.0,25.0,52.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ecuador,ECU,ECU,ECU,Latin America & Caribbean,Upper middle income,2026,15,2.1,0.5,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,84.0,25.0,84.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Egypt, Arab Rep.",EGY,EGY,EGY,Middle East & North Africa,Lower middle income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,64.25,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
El Salvador,SLV,SLV,SLV,Latin America & Caribbean,Upper middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,75.0,74.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Equatorial Guinea,GNQ,GNQ,GNQ,Sub-Saharan Africa,Upper middle income,2026,9,1.3,0.3,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,87.5,0.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
